user_id,product_id,rating,timestamp,review_text
1,66,3,2026-03-19 00:52:50,Đóng gói cẩn thận
1,19,3,2026-04-28 01:52:50,Không như mong đợi
2,69,4,2026-03-20 17:52:50,Sản phẩm như mô tả
2,30,4,2026-03-24 11:52:50,Đáng đồng tiền
2,36,5,2026-04-16 22:52:50,Sản phẩm tuyệt vời!
2,94,5,2026-04-22 08:52:50,Sản phẩm như mô tả
2,42,3,2026-05-16 04:52:50,Giao hàng nhanh
2,98,4,2026-05-25 22:52:50,Rất hài lòng
3,93,2,2026-03-19 21:52:50,Đóng gói cẩn thận
3,100,4,2026-04-02 13:52:50,Đáng đồng tiền
3,13,4,2026-05-11 14:52:50,Sản phẩm tuyệt vời!
4,85,2,2026-04-08 19:52:50,Không như mong đợi
4,44,4,2026-05-17 05:52:50,Đóng gói cẩn thận
4,24,2,2026-05-20 16:52:50,Sản phẩm như mô tả
4,52,3,2026-05-22 16:52:50,Đóng gói cẩn thận
4,60,4,2026-05-30 18:52:50,Đáng đồng tiền
5,63,4,2026-03-20 20:52:50,"Chất lượng tốt, giá hợp lý"
5,17,3,2026-04-04 22:52:50,Rất hài lòng
5,79,4,2026-04-24 06:52:50,Không như mong đợi
5,45,3,2026-05-10 04:52:50,Không như mong đợi
5,9,3,2026-05-18 00:52:50,Cần cải thiện
5,98,3,2026-05-29 21:52:50,Cần cải thiện
5,3,3,2026-06-01 01:52:50,"Chất lượng tốt, giá hợp lý"
6,88,4,2026-03-26 07:52:50,Cần cải thiện
6,69,4,2026-03-31 23:52:50,Không như mong đợi
6,31,2,2026-04-01 14:52:50,Rất hài lòng
6,58,4,2026-04-11 17:52:50,"Chất lượng tốt, giá hợp lý"
6,26,3,2026-04-24 21:52:50,"Chất lượng tốt, giá hợp lý"
6,77,4,2026-05-06 12:52:50,Giao hàng nhanh
7,34,2,2026-03-13 17:52:50,Cần cải thiện
7,32,4,2026-04-20 12:52:50,Không như mong đợi
7,1,3,2026-05-01 11:52:50,Đáng đồng tiền
7,34,3,2026-05-02 09:52:50,Rất hài lòng
7,32,4,2026-05-09 05:52:50,Đóng gói cẩn thận
7,24,2,2026-05-12 12:52:50,"Chất lượng tốt, giá hợp lý"
7,100,4,2026-05-20 14:52:50,Đáng đồng tiền
7,13,4,2026-06-04 01:52:50,Sản phẩm tuyệt vời!
8,37,4,2026-03-20 19:52:50,Đáng đồng tiền
8,40,4,2026-04-02 11:52:50,Đóng gói cẩn thận
8,13,5,2026-04-14 20:52:50,Sản phẩm như mô tả
8,12,4,2026-06-06 02:52:50,Sản phẩm như mô tả
9,36,4,2026-03-14 21:52:50,Cần cải thiện
9,1,3,2026-04-06 22:52:50,Giao hàng nhanh
9,83,3,2026-05-01 01:52:50,Sản phẩm như mô tả
9,75,5,2026-06-04 10:52:50,Không như mong đợi
10,53,3,2026-03-18 00:52:50,Sản phẩm tuyệt vời!
10,49,2,2026-04-14 18:52:50,Không như mong đợi
10,49,3,2026-04-29 19:52:50,Cần cải thiện
10,18,4,2026-05-15 12:52:50,Không như mong đợi
10,80,3,2026-05-24 10:52:50,Giao hàng nhanh
10,59,3,2026-06-03 19:52:50,Sản phẩm tuyệt vời!
11,75,4,2026-05-29 04:52:50,Đáng đồng tiền
11,52,4,2026-05-29 08:52:50,Giao hàng nhanh
11,36,4,2026-06-04 03:52:50,Tạm được
12,32,3,2026-03-16 18:52:50,Đóng gói cẩn thận
12,88,3,2026-04-06 01:52:50,Đóng gói cẩn thận
12,51,2,2026-04-09 20:52:50,Tạm được
12,3,5,2026-04-24 07:52:50,Tạm được
12,68,3,2026-04-25 02:52:50,Tạm được
12,59,3,2026-04-26 17:52:50,Sản phẩm như mô tả
12,88,3,2026-05-06 05:52:50,Giao hàng nhanh
12,85,3,2026-05-22 17:52:50,Tạm được
12,70,3,2026-05-24 20:52:50,Cần cải thiện
12,16,2,2026-06-04 20:52:50,Không như mong đợi
12,65,3,2026-06-05 06:52:50,Giao hàng nhanh
12,69,5,2026-06-09 07:52:50,"Chất lượng tốt, giá hợp lý"
13,19,3,2026-03-21 07:52:50,Đóng gói cẩn thận
13,38,3,2026-05-10 04:52:50,Không như mong đợi
13,28,4,2026-05-17 23:52:50,Đóng gói cẩn thận
13,31,3,2026-05-30 10:52:50,Đóng gói cẩn thận
14,18,5,2026-04-12 06:52:50,"Chất lượng tốt, giá hợp lý"
14,69,4,2026-04-23 06:52:50,Giao hàng nhanh
14,69,4,2026-05-07 05:52:50,Sản phẩm tuyệt vời!
14,44,4,2026-05-11 21:52:50,Đáng đồng tiền
14,39,3,2026-05-14 07:52:50,Đáng đồng tiền
14,70,4,2026-05-24 16:52:50,Sản phẩm như mô tả
15,45,2,2026-03-19 09:52:50,Sản phẩm như mô tả
15,90,4,2026-03-22 16:52:50,Đáng đồng tiền
15,45,3,2026-03-30 02:52:50,Sản phẩm tuyệt vời!
15,33,5,2026-04-05 11:52:50,Đáng đồng tiền
15,30,4,2026-04-16 07:52:50,Sản phẩm như mô tả
15,29,4,2026-04-26 22:52:50,"Chất lượng tốt, giá hợp lý"
15,26,2,2026-04-28 02:52:50,Sản phẩm như mô tả
15,54,4,2026-05-09 19:52:50,Rất hài lòng
15,1,3,2026-05-11 17:52:50,Không như mong đợi
