user_id,product_id,action,timestamp,category,price,session_id
1,11,view,2026-03-28 20:10:48,Thể thao & Du lịch,1955315,sess_1_8687
1,53,view,2026-04-09 01:12:48,Làm đẹp & Sức khỏe,1075150,sess_1_6171
1,99,view,2026-04-15 10:43:48,Làm đẹp & Sức khỏe,1431240,sess_1_7330
1,85,view,2026-04-16 03:13:48,Thời trang Nữ,856822,sess_1_1865
1,85,click,2026-04-16 11:01:48,Thời trang Nữ,856822,sess_1_4215
1,85,click,2026-04-16 18:07:48,Thời trang Nữ,856822,sess_1_3798
1,81,click,2026-04-21 03:14:48,Laptop & Máy tính,12435541,sess_1_1975
1,50,purchase,2026-04-27 08:21:48,Laptop & Máy tính,25909625,sess_1_4155
1,85,view,2026-04-29 17:52:48,Thời trang Nữ,856822,sess_1_8097
1,50,view,2026-05-01 05:15:48,Laptop & Máy tính,25909625,sess_1_6606
1,36,click,2026-05-01 17:20:48,Âm thanh & Phụ kiện,3037697,sess_1_5525
1,40,view,2026-05-03 04:09:48,Thời trang Nữ,1654473,sess_1_9070
1,85,add_to_cart,2026-05-06 12:44:48,Thời trang Nữ,856822,sess_1_3721
1,50,click,2026-05-08 21:36:48,Laptop & Máy tính,25909625,sess_1_5982
1,36,add_to_cart,2026-05-08 22:39:48,Âm thanh & Phụ kiện,3037697,sess_1_3007
1,50,add_to_cart,2026-05-09 20:18:48,Laptop & Máy tính,25909625,sess_1_7468
1,71,view,2026-05-11 07:36:48,Thời trang Nữ,451879,sess_1_4638
1,65,view,2026-05-11 17:30:48,Thời trang Nữ,1118465,sess_1_5110
1,21,view,2026-05-13 11:33:48,Thể thao & Du lịch,619895,sess_1_9453
1,40,view,2026-05-15 22:30:48,Thời trang Nữ,1654473,sess_1_7400
1,73,view,2026-05-17 15:32:48,Thời trang Nam,1341719,sess_1_8537
1,8,view,2026-05-23 16:09:48,Thời trang Nam,1571823,sess_1_9759
1,85,purchase,2026-05-24 02:48:48,Thời trang Nữ,856822,sess_1_1097
1,36,view,2026-05-25 10:05:48,Âm thanh & Phụ kiện,3037697,sess_1_8814
1,71,view,2026-05-27 23:29:48,Thời trang Nữ,451879,sess_1_1250
1,84,view,2026-05-30 17:59:48,Thể thao & Du lịch,1619564,sess_1_4264
1,81,view,2026-06-04 13:03:48,Laptop & Máy tính,12435541,sess_1_8171
1,10,view,2026-06-06 11:56:48,Điện thoại & Tablet,18460856,sess_1_8488
1,85,add_to_cart,2026-06-08 08:33:48,Thời trang Nữ,856822,sess_1_2250
2,38,view,2026-03-13 14:37:48,Âm thanh & Phụ kiện,2863542,sess_2_6596
2,80,view,2026-03-13 19:41:48,Sách & Văn phòng phẩm,1264288,sess_2_7876
2,71,view,2026-03-14 16:29:48,Thời trang Nữ,451879,sess_2_2443
2,72,view,2026-03-16 19:43:48,Laptop & Máy tính,5861624,sess_2_3940
2,49,view,2026-03-19 02:14:48,Làm đẹp & Sức khỏe,634191,sess_2_1233
2,4,purchase,2026-03-26 06:21:48,Đồ gia dụng,426064,sess_2_6248
2,48,view,2026-03-26 16:13:48,Làm đẹp & Sức khỏe,824958,sess_2_5106
2,87,view,2026-03-26 23:52:48,Điện thoại & Tablet,14540844,sess_2_9428
2,48,add_to_cart,2026-03-30 06:07:48,Làm đẹp & Sức khỏe,824958,sess_2_5661
2,39,view,2026-03-31 10:42:48,Thời trang Nữ,293563,sess_2_1976
2,56,view,2026-03-31 22:58:48,Làm đẹp & Sức khỏe,1606480,sess_2_9753
2,4,view,2026-04-01 18:01:48,Đồ gia dụng,426064,sess_2_5126
2,38,view,2026-04-06 15:59:48,Âm thanh & Phụ kiện,2863542,sess_2_7140
2,4,add_to_cart,2026-04-11 20:03:48,Đồ gia dụng,426064,sess_2_4721
2,21,view,2026-04-11 21:14:48,Thể thao & Du lịch,619895,sess_2_6594
2,16,click,2026-04-12 12:07:48,Âm thanh & Phụ kiện,1392638,sess_2_6863
2,11,add_to_cart,2026-04-15 12:35:48,Thể thao & Du lịch,1955315,sess_2_9491
2,22,view,2026-04-17 02:39:48,Điện thoại & Tablet,28751200,sess_2_7504
2,14,view,2026-04-17 11:59:48,Thể thao & Du lịch,1260198,sess_2_6876
2,11,click,2026-04-21 22:46:48,Thể thao & Du lịch,1955315,sess_2_7666
2,62,view,2026-04-22 23:33:48,Âm thanh & Phụ kiện,1038790,sess_2_3822
2,41,click,2026-04-25 15:10:48,Âm thanh & Phụ kiện,802225,sess_2_3538
2,87,add_to_cart,2026-04-26 13:54:48,Điện thoại & Tablet,14540844,sess_2_8856
2,48,click,2026-04-30 04:37:48,Làm đẹp & Sức khỏe,824958,sess_2_3779
